Cliente;Data_Cadastro;Telefone;Email;Valor_Compra;Status;Categoria;ID_Produto;Endereco;Estado;CEP;Produto;Quantidade;Forma_Pagamento;Observacao
Sr. Camila da Rosa;2023-06-19;5551980873373;itaque@quasi;2591,0;INATIVO;Eletrônicos;GK88-67Bu;Favela Mariana Moraes, 733, Vila Santa Monica 1ª Seção, 36029-748 Araújo / RS;XX;15667-965;Fone de Ouvido;;;Entregar urgente
Dra. Ana Carolina Teixeira;2024-01-10;0900 172 5860;silvaenzo@ig.com.br;9002.75;INATIVO;Alimentos;Fz82-31GQ;Setor de Vieira, 67, São Gabriel, 21369-992 Cunha / RN;RJ;44282652;Refrigerante;;;Entregar urgente
maria da conceição;2024-11-25;+55 (071) 7199 7605;piresheloisa@bol.com.br;7069,45;;Eletrônicos;Is22-07eb;Estação Davi Lucca Rezende, 4, Vila Sesc, 90638855 da Paz / AC;RS;51850531;Fone de Ouvido;;Cartão;Atraso na entrega
lucas gabriel lopes;18/12/2023;0500 345 5467;ana-laura29@bol.com.br;6025.19;ativo;Móveis;LB01-45Kw;Viaduto Ana Luiza Vieira, 21, Lagoinha, 93801-342 Mendes da Mata / BA;RJ;83232123;Armário;5;;
Eduarda Fogaça;29/08/2024;11 8886-7392;guilherme23@hotmail.com;7449,96;Inativo;Alimentos;SQ38-57bd;da Conceição do Amparo;XX;14922-048;Café;;dinheiro;Entregar urgente
Sr. Luana Duarte;22/02/2024;11 2625 8982;barroskevin@martins.br;9533.79;Inativo;Móveis;EL08-92nh;Chácara Nogueira, 31, Dom Cabral, 69036467 Moreira / SC;MG;16799852;Mesa;3;PIX;Atraso na entrega
Rafael Alves;2023-08-29;+55 84 3663-3764;emanuelly52@ig.com.br;4505,6;Em análise;Móveis;wV10-51qX;Chácara Marcela Jesus, 22, Conjunto Celso Machado, 67424912 Cardoso / BA;MG;10361-745;Cadeira;;Dinheiro;Cliente VIP
Luiz Felipe Pinto;14/05/2023;+55 (061) 9045-5883;cardosolavinia@ig.com.br;3132,81;Em análise;Alimentos;ut81-07be;Aragão;RJ;15111-230;Café;3;Cartão;Atraso na entrega
Dra. Renan Lima;23/05/2023;0500 915 7461;martinsana-livia@ig.com.br;3867,53;;Móveis;Hs23-75Ye;Feira de Fernandes, São José, 33246339 Ribeiro de Freitas / TO;SP;74257-001;Armário;;;
Alexia Cavalcanti;2025-03-29;+55 61 5977 4478;luiz-henrique54@sales.br;6212.21;Ativo;Eletrônicos;gL44-51aZ;Largo de Ribeiro, 600, Marieta 3ª Seção, 89476980 da Mata de Porto / AL;MG;21326-901;Tablet;5;Dinheiro;Atraso na entrega
Joana Souza;2024-03-31;0500 269 6615;larissanunes@barbosa.org;7303.27;ativo;Roupas;xD91-19pt;Castro de Costa;MG;25637460;Vestido;4;Boleto;Atraso na entrega
Dr. Luiz Miguel Campos;2023-09-05;5521972921510;costelakamilly@yahoo.com.br;7092.98;INATIVO;Móveis;RO63-36CK;Ladeira de Alves, 64, São Vicente, 56825583 Sales / MS;RJ;47651396;Sofá;3;Dinheiro;
Dra. Lívia Ferreira;2025-01-01;(081) 3647 8312;kpeixoto@melo.com;3233,57;ativo;Móveis;sK13-44SG;Fazenda Davi da Conceição, 7, Lagoinha Leblon, 21630-754 Pinto do Oeste / DF;SP;07445539;Mesa;;;Entregar urgente
Emanuella Fernandes;2024-09-19;+55 (071) 4117-1978;dnovaes@gmail.com;7999.81;;Móveis;Pa07-10GG;Praça de Gonçalves, 1, Miramar, 62812917 Campos / SC;MG;39552171;Cadeira;2;Boleto;Atraso na entrega
Dr. Raul Ramos;2024-09-13;+55 (011) 3100-7505;quia@pariatur;3642.46;INATIVO;Móveis;bs74-22nm;Rua Calebe Pinto, Concórdia, 14986375 Pires / AC;AM;52862-717;Sofá;;;Cliente VIP
catarina da rocha;03/01/2024;5541954367475;monteiromaria-vitoria@ig.com.br;3749.5;ativo;Móveis;Fz78-30zg;Lago de Cavalcanti, 596, Floresta, 58089-359 Dias / MG;SP;47661655;Mesa;;Boleto;
alana pires;2023-08-20;(081) 1618 0938;rodriguesana-livia@nogueira.org;3546.05;Ativo;Eletrônicos;NX61-97Gh;da Rocha;SP;57466255;Smartphone;5;dinheiro;Cliente VIP
Dr. Emanuella Novaes;2023-10-04;51 2071 7104;officiis@quidem;1038,25;Em análise;Eletrônicos;rP35-05cy;Rua Davi Lucca Fernandes, 5, Vila São Francisco, 00929719 das Neves de Azevedo / RJ;SP;45251-396;Notebook;3;Dinheiro;Cliente VIP
Isabelly Almeida;10/07/2024;84 0261 2461;eda-cunha@moreira.br;7810.92;Inativo;Móveis;KI60-36DM;Via Aragão, 68, São Bento, 01778-580 Viana / MG;SP;37292762;Cadeira;5;dinheiro;Cliente VIP
Sr. Noah Novaes;2023-05-02;+55 21 5375-6828;rochamariane@hotmail.com;4739,61;;Roupas;Ys28-47FA;Gonçalves de Minas;AM;21988-520;Calça;4;Cartão;Cliente VIP
nicolas das neves;14/03/2024;+55 (084) 9099 4911;ffernandes@azevedo.com;3833,55;ativo;Eletrônicos;tH76-20cr;Setor de das Neves, 77, São Sebastião, 38248-120 Duarte / AL;MG;51905772;Fone de Ouvido;2;PIX;Atraso na entrega
Kaique Farias;07/12/2023;+55 21 1094 1027;miguel99@moraes.com;4476,64;;Móveis;Fd24-21dG;Trevo de Pires, Etelvina Carneiro, 04036968 Barros / SC;MG;825678;Mesa;;;Atraso na entrega
Sr. Lavínia Ribeiro;2024-05-28;21 4072-0358;isabel52@alves.com;6275.35;Inativo;Roupas;MK62-48bl;Lago Luiz Gustavo Carvalho, 3, Comiteco, 56065-170 Aragão / AM;MG;85679482;Vestido;;dinheiro;Cliente VIP
Dra. Davi Luiz da Cruz;2023-11-07;+55 (081) 3816 5083;sabrinanunes@uol.com.br;3213.2;INATIVO;Alimentos;Ic80-99es;Jardim de da Paz, 45, Inconfidência, 58163597 Ferreira do Oeste / SP;RS;40861-787;Chocolate;3;;
Sr. Diogo Fernandes;2025-01-02;(081) 2287-3287;pda-rosa@gmail.com;5422.36;INATIVO;Alimentos;mx37-76Wp;Área de Pereira, 362, Boa União 1ª Seção, 82223-570 Dias do Norte / DF;XX;76670-103;Café;;Cartão;
Dr. Dr. Breno Viana;2024-09-07;(081) 5638 7657;maria-vitoriaazevedo@goncalves.com;3571.1;INATIVO;Eletrônicos;EM37-78gv;Largo da Rosa, 96, Madri, 61117-200 Mendes Grande / BA;XX;09327-808;Smartphone;;Dinheiro;Entregar urgente
marina da luz;2023-10-28;(051) 5757-3478;nunesfelipe@moraes.com;8759,92;Em análise;Eletrônicos;dm82-71xp;Quadra Murilo Porto, 18, Lorena, 62708470 Fogaça / ES;SP;04266-300;Notebook;;;Atraso na entrega
Natália Sales;14/10/2023;+55 84 6445-7593;monteirojoao-lucas@gmail.com;6089,88;INATIVO;Roupas;dN64-87OX;Peixoto de Ramos;RS;00465869;Camisa;;;
Sra. Paulo Freitas;05/04/2024;5531969406286;ppires@santos.com;9896,47;Inativo;Roupas;Ah77-10LS;Campo de Pinto, 84, Santa Cecilia, 36319600 Azevedo / RO;RJ;54550176;Vestido;;dinheiro;Atraso na entrega
Emanuella da Costa;18/04/2025;0800-836-6018;nascimentodanilo@uol.com.br;3165.04;;Alimentos;yy34-12kL;Pátio de Carvalho, 7, São Luiz, 93637-326 Pereira / PE;SP;45943748;Refrigerante;2;Boleto;Entregar urgente
Sra. Lívia Pinto;14/08/2023;5551974636047;consequatur@architecto;8621.39;INATIVO;Eletrônicos;KJ97-83cB;Travessa Valentina Cavalcanti, 83, São Damião, 15109764 Cardoso / SC;RS;09929-370;Smartphone;;Dinheiro;Atraso na entrega
Sra. Amanda Costa;2024-12-04;+55 51 9051 5116;nostrum@cum;6506.51;INATIVO;Alimentos;KK11-20xi;Largo de Cardoso, 95, Vila São Gabriel Jacui, 90403336 Jesus da Mata / RN;AM;55732180;Bolacha;;dinheiro;Atraso na entrega
Sofia Almeida;2024-04-20;51 9945 6862;qda-rosa@da.com;6141.74;;Alimentos;fA99-17Lc;Silva;MG;88914-380;Refrigerante;;Cartão;
Sr. Davi Luiz Ribeiro;13/07/2023;71 7170-7713;joao-miguel05@uol.com.br;6549.51;ativo;Eletrônicos;Ao87-25Zu;Núcleo de Viana, 97, Santo Agostinho, 81088676 Nascimento do Amparo / AC;SP;83748-139;Notebook;2;PIX;
Dr. Theo Lopes;11/01/2025;+55 (051) 5493 2461;adas-neves@yahoo.com.br;5168,59;;Eletrônicos;kr31-82cG;Aeroporto Costa, 47, Ipe, 78795476 Farias / PA;RJ;38075-984;Tablet;;PIX;
Sra. Isabel Viana;08/01/2024;5541900820973;xpereira@rezende.br;8244,73;Inativo;Móveis;MU99-81bu;Passarela da Rocha, 628, Ermelinda, 98765-348 Farias do Norte / PR;AM;62571540;Cadeira;5;Boleto;Entregar urgente
Nina da Conceição;06/02/2025;0800 152 4113;provident@iure;8238,91;Em análise;Eletrônicos;RH87-20Xc;Favela de da Costa, 3, União, 07180-386 Lima da Praia / RN;RJ;67581036;Tablet;;;
sabrina pires;2024-09-13;+55 11 9474-8522;xda-cunha@hotmail.com;9589,72;INATIVO;Alimentos;Pl71-80sr;Alameda Elisa da Conceição, 98, Anchieta, 06890549 Monteiro / RS;MG;33974-948;Chocolate;;;
dra. kamilly rocha;2024-11-19;+55 (041) 8314-1215;ocastro@silva.com;8639.91;INATIVO;Roupas;QW84-90ik;Rua Stephany Campos, 1, Vila Rica, 26427865 Araújo / SC;MG;51000280;Jaqueta;;Dinheiro;
Dra. Laís Rezende;2024-04-23;+55 (011) 7764 7864;wmelo@ig.com.br;1166,58;Ativo;Eletrônicos;AG07-97MT;Recanto Lucca Duarte, 5, Vila Ipiranga, 17487033 Jesus Verde / CE;XX;77092-342;Tablet;1;;
emilly mendes;2024-04-09;(084) 6719 7386;bmartins@da.com;2276,34;Ativo;Móveis;GD76-75zM;Viaduto de Moura, 6, Vila Madre Gertrudes 2ª Seção, 63328242 Lima / MA;SP;35747-340;Sofá;2;PIX;Cliente VIP
Eloah da Cunha;2025-04-02;5551981649242;barbosaluiz-fernando@sales.net;2810.57;;Roupas;LR73-94uy;Via Erick Pinto, 44, Santa Monica, 71406-094 Nascimento do Sul / BA;RJ;52768835;Camisa;3;;Atraso na entrega
vitor hugo nascimento;2025-02-26;0900 348 9728;nicole34@gmail.com;1583.75;;Eletrônicos;LI81-85Wu;Lago de Ferreira, 20, Vila Pilar, 61540-064 Monteiro do Campo / TO;MG;51407494;Tablet;;;
Dra. Bernardo Nunes;17/01/2025;+55 (081) 2762 2470;pedromonteiro@ig.com.br;1929,83;ativo;Roupas;jl19-14Ny;Recanto Araújo, 44, Vila Boa Vista, 18926622 Nogueira de Cavalcanti / PA;RS;05907-411;Camisa;;dinheiro;
Srta. Kamilly Freitas;2024-01-01;61 8203 5050;ygomes@uol.com.br;2883,22;ativo;Roupas;Mm33-55nK;Cavalcanti Verde;XX;88277588;Camisa;;;Entregar urgente
Marcos Vinicius Cavalcanti;17/08/2023;84 3020 3238;alexiaviana@vieira.org;4432,28;Inativo;Móveis;PK72-26bY;Travessa Novaes, Bernadete, 16277-920 Costa / MT;XX;02216129;Cadeira;3;Cartão;Cliente VIP
gabriela aragão;2023-07-06;+55 (011) 2214-0650;a@consequuntur;5165.58;INATIVO;Alimentos;VT73-88Xp;Vereda Rafael Ferreira, 7, Vila Petropolis, 20325-714 Silva / PI;AM;20535-024;Bolacha;;Dinheiro;Atraso na entrega
luiz gustavo pires;09/02/2024;5511966049998;joao-lucas73@ig.com.br;8230.84;INATIVO;Roupas;aF39-24rh;Condomínio de Novaes, 59, Aparecida, 53950043 da Cunha / SP;MG;71480337;Calça;;;
Alícia Martins;18/04/2025;+55 (011) 5907 3901;dsales@fogaca.br;6966,65;Em análise;Eletrônicos;Dq01-14KO;Sítio Raul das Neves, 71, São Jorge 2ª Seção, 85381-888 Novaes Verde / AP;XX;82876-683;Tablet;;;Entregar urgente
Valentina da Luz;2023-06-11;(081) 0952 2773;viniciusfernandes@bol.com.br;3854.36;Inativo;Móveis;uX62-80zq;Novaes de Freitas;SP;33928-625;Mesa;;;Entregar urgente
Sr. Maria Clara Ferreira;2023-09-17;+55 51 1400 7761;feliperocha@uol.com.br;3798,04;Ativo;Eletrônicos;ZF64-53jI;Sítio Fogaça, 68, Vila Formosa, 41955-493 Araújo / AM;RS;85364441;Notebook;;Dinheiro;
Dra. Kevin Cavalcanti;2024-07-28;(051) 3245 9748;qoliveira@gmail.com;1910,29;INATIVO;Alimentos;rK08-66HY;Condomínio da Cruz, 1, Ouro Minas, 14828557 Souza Alegre / AC;AM;60143-055;Refrigerante;;Boleto;Cliente VIP
Milena Alves;05/01/2024;+55 41 9076-7776;da-conceicaomaite@pinto.com;6403,38;;Alimentos;xc06-09WI;Teixeira;MG;51920-;Bolacha;3;Boleto;
vitória gonçalves;2024-01-07;5541919028984;silveirayago@bol.com.br;2969,76;INATIVO;Roupas;fj81-81aN;Lagoa Martins, 33, Paulo Vi, 56942817 Vieira / TO;SP;86297-268;Camisa;3;Dinheiro;Atraso na entrega
Dra. Luigi Jesus;2024-10-16;(081) 6490 9460;cardosomaria-alice@uol.com.br;2480.31;Ativo;Eletrônicos;TZ64-63Cy;Distrito Vinicius Cardoso, 2, São João Batista, 00193902 Gonçalves / PR;MG;57744-005;Smartphone;;;Cliente VIP
lorena aragão;19/02/2025;(021) 0097 1977;ea@odio;8044.67;Inativo;Eletrônicos;bk89-83AH;Favela de Araújo, 51, Vitoria, 55648880 Duarte Grande / SE;AM;88875-;Smartphone;;Cartão;Entregar urgente
Davi Luiz Rezende;2024-04-17;84 2194-0913;juliabarbosa@da.net;354,49;Ativo;Alimentos;zu28-03mh;Campo de Cardoso, 145, Marieta 3ª Seção, 57443891 Barbosa de Barbosa / MT;AM;46337-;Café;;;Atraso na entrega
Dra. Yasmin Ferreira;2023-09-09;5521927523800;costamarcos-vinicius@da.net;367,56;INATIVO;Roupas;Kw03-97Ay;Distrito de da Luz, 7, Renascença, 58331-298 Ferreira / ES;MG;89289-481;Camisa;;Boleto;Cliente VIP
ana clara da rosa;19/12/2024;5581967709848;stella73@das.br;6283.9;Ativo;Roupas;Sd00-81rl;Vereda de Moura, Novo Ouro Preto, 41439-903 Silveira do Galho / PR;RS;99929830;Camisa;2;Cartão;
dr. eduardo mendes;2025-03-13;+55 (071) 4584-0532;calmeida@ig.com.br;2720.51;Em análise;Eletrônicos;jm63-08Qj;Avenida Yasmin Silveira, Vera Cruz, 69152-441 Almeida / MA;RS;53362942;Notebook;;PIX;Entregar urgente
Sr. Renan da Rosa;08/11/2024;5584995178548;praesentium@pariatur;964.0;ativo;Alimentos;CE89-74cx;Vila da Mota, 32, Santa Sofia, 60671263 Freitas / ES;XX;60958-431;Chocolate;;Dinheiro;Atraso na entrega
Sr. Giovanna Freitas;18/04/2025;+55 (011) 8484-5834;enzo41@silveira.br;328,79;INATIVO;Eletrônicos;zP51-72Jf;Favela Dias, 71, Vila Aeroporto Jaraguá, 68787287 Pires do Norte / PA;AM;87326-;Tablet;;Dinheiro;Atraso na entrega
Gabrielly da Luz;2024-09-10;+55 (051) 7835 2533;maria-clara93@ig.com.br;6356.45;ativo;Móveis;nN10-02dP;Vieira de Alves;XX;78453-564;Sofá;;Cartão;Entregar urgente
Ana Beatriz da Luz;17/06/2023;5551984680058;dda-paz@vieira.net;6301.88;Ativo;Eletrônicos;zB05-68cl;Estação Enzo Gabriel da Paz, 727, Teixeira Dias, 73440-965 Farias / RJ;XX;02433-682;Fone de Ouvido;;PIX;Cliente VIP
Dr. Sophie Castro;2024-02-14;31 0990-4545;lucas-gabrieljesus@bol.com.br;9187,21;Em análise;Roupas;fp87-77wa;Quadra Isabelly Jesus, 70, Olhos D'água, 06862-939 Lopes de Monteiro / RN;MG;49503-682;Jaqueta;;;Entregar urgente
fernando costa;2024-09-07;+55 81 1399-3371;azevedobryan@gmail.com;3084.94;;Roupas;hR72-52Qb;Viaduto de Barros, 423, Cruzeiro, 94929369 Nascimento da Serra / BA;SP;42737667;Jaqueta;3;Cartão;Cliente VIP
Srta. Nicole Dias;29/10/2024;5581923633357;debitis@excepturi;9049,82;Em análise;Móveis;JM89-59JD;Rodovia Ana Gonçalves, 178, Grotinha, 60558-222 Ferreira da Serra / PE;MG;44436830;Cadeira;5;Cartão;Atraso na entrega
Renan da Conceição;2024-03-22;71 4277 8568;est@nostrum;6265.56;Ativo;Eletrônicos;TW19-97bj;Lago de Fernandes, 90, Ouro Minas, 48749030 Rocha Verde / PB;SP;11175437;Smartphone;;PIX;
Diogo Farias;2024-11-22;+55 (051) 8713 3500;alana36@ramos.com;5512,52;Em análise;Móveis;jp02-25Xq;Distrito de da Paz, 8, Novo São Lucas, 99290910 Pires da Serra / TO;AM;94141-;Armário;;dinheiro;Cliente VIP
Sr. Caio Nunes;08/07/2023;(011) 3663 8406;xda-luz@yahoo.com.br;6296.2;INATIVO;Alimentos;QS34-51qG;Feira Aragão, 58, Novo Glória, 76569569 das Neves / SP;SP;96462-633;Refrigerante;;dinheiro;Atraso na entrega
Sra. Ana Carolina Almeida;2024-12-25;+55 81 1390 9027;davi-lucca60@da.org;1949.36;Ativo;Eletrônicos;Gt79-94iM;Novaes do Norte;MG;98655-974;Fone de Ouvido;;Cartão;Entregar urgente
Dr. Stephany Novaes;2023-07-04;5561964055545;maria-fernanda65@rodrigues.net;5415,72;Ativo;Móveis;ri66-54ss;Campo Fernanda da Mota, 51, Maria Tereza, 93294-104 Cavalcanti / TO;RJ;87459118;Cadeira;;;Entregar urgente
maria cecília castro;08/12/2024;61 4902-5740;nostrum@minus;6963.11;;Roupas;KL53-34tn;Recanto Nunes, 6, Tupi A, 44260-002 da Rosa / AM;MG;78758836;Calça;;Cartão;Cliente VIP
Erick Costa;22/06/2023;+55 (084) 0322-0411;catarinaporto@sales.net;8192,85;;Roupas;yQ52-22yB;Praça Lívia Duarte, 430, Cidade Jardim, 46231-077 Nascimento / AM;MG;29111-744;Camisa;;Dinheiro;Entregar urgente
joão felipe pereira;2023-06-24;+55 21 6350-6712;isisfernandes@uol.com.br;3564,82;ativo;Eletrônicos;NR00-94bf;Pátio de da Costa, 95, Lindéia, 19302439 Nascimento da Serra / PB;SP;09378369;Tablet;2;;
esther duarte;2024-11-09;+55 (051) 1337 3546;luiz-gustavoda-mata@uol.com.br;2146,09;Ativo;Roupas;al59-05Ro;Estação Ribeiro, 57, Ipe, 51936-077 da Rocha / SP;RS;36152041;Calça;;PIX;Cliente VIP
clarice jesus;21/03/2024;+55 (071) 1920-9176;breno23@hotmail.com;3494.03;Inativo;Eletrônicos;lw58-55ia;Aeroporto Vinicius Silveira, 51, Dom Silverio, 66916-017 Lopes / PR;RS;26507-759;Tablet;;dinheiro;Atraso na entrega
Vinicius Melo;2023-07-17;5584988388276;kmoreira@farias.br;746,01;INATIVO;Eletrônicos;BO83-55Ov;Aeroporto Vitória Almeida, Cachoeirinha, 08918-825 Fernandes do Campo / MT;AM;55510-738;Tablet;;PIX;
sarah da rosa;03/04/2024;+55 61 5616-0149;nesciunt@minus;6163,5;Em análise;Móveis;OL10-57PA;Silva do Amparo;AM;12844523;Armário;;Boleto;Entregar urgente
sophie pereira;2023-07-03;21 9275 0571;esse@doloribus;1743.01;;Móveis;MK47-45ii;Viela Raul Viana, 72, Conjunto Califórnia I, 43442548 Melo Grande / AC;AM;30244-344;Armário;1;;Cliente VIP
Dra. Evelyn Caldeira;22/07/2024;+55 84 0227-9066;ana-juliada-rocha@da.com;3359.95;ativo;Roupas;oI55-56Lk;Fazenda Beatriz Pinto, 7, Betânia, 30780530 Aragão do Galho / RS;XX;04488286;Jaqueta;2;;Entregar urgente
kamilly teixeira;2024-10-06;5541983394100;rodriguesana-sophia@gmail.com;7060.19;ativo;Alimentos;rm35-47on;Área Breno Costa, 28, Aguas Claras, 69972-866 Cardoso dos Dourados / SE;RS;72055-265;Café;;;
Dra. Melissa Almeida;2024-03-14;(011) 4515 8886;raul48@hotmail.com;6757.59;;Móveis;VR85-91bv;Favela de Moreira, 66, Conjunto Providencia, 93358-655 Sales / RS;SP;12465-514;Mesa;;;
benjamin alves;2023-09-06;+55 31 1610 0682;luiz-otavio15@ig.com.br;122.82;ativo;Eletrônicos;Jd70-94mH;Ribeiro da Mata;AM;52995358;Smartphone;;Dinheiro;
marcelo mendes;28/11/2024;+55 (071) 0902 7798;laviniamoura@fogaca.net;2384.11;Em análise;Roupas;YS27-51xK;Vila de Cardoso, 89, Conjunto Capitão Eduardo, 17079652 da Luz das Flores / MG;MG;43116653;Vestido;5;Boleto;Cliente VIP
Esther Moraes;2023-05-06;+55 31 7509-8928;agomes@vieira.net;4994.64;Em análise;Alimentos;mp32-97aY;Colônia Alana Araújo, 27, Vila Nova Gameleira 2ª Seção, 89401-520 Araújo de Goiás / RO;XX;75372569;Chocolate;;Cartão;
laís pinto;2024-06-07;5584953874233;deleniti@velit;4213,42;;Alimentos;FS38-36vs;Fernandes;AM;00768-265;Café;3;dinheiro;Entregar urgente
lavínia fogaça;2023-07-02;5571929628218;da-motajoao@silva.com;4701,69;Inativo;Móveis;Cn64-12Fy;Viana;XX;435390;Sofá;3;Cartão;
pietra ribeiro;02/05/2024;84 3163 0818;koliveira@rodrigues.org;3088,27;Inativo;Alimentos;Df03-13ai;Parque Fogaça, 26, Vila Boa Vista, 50725-602 Aragão / PI;MG;05957206;Café;3;dinheiro;
Sr. Yuri Oliveira;12/12/2023;(031) 6784-5844;sbarbosa@silva.com;1620.96;INATIVO;Roupas;co10-31DR;Lagoa Almeida, 208, Pompéia, 92551952 da Rocha de Minas / RN;RJ;43578704;Calça;;Dinheiro;Atraso na entrega
Sr. Lucas da Luz;2023-09-09;+55 (011) 1187 6162;olivia75@yahoo.com.br;327,56;INATIVO;Alimentos;dF26-54Dk;Feira de Castro, 236, Palmares, 37567-024 Dias Verde / DF;AM;67064-324;Bolacha;;Boleto;Entregar urgente
Srta. Raquel Cavalcanti;2024-12-26;5541949767324;juanda-paz@nascimento.net;8597,34;;Eletrônicos;oC24-60CU;Alameda Freitas, 907, Araguaia, 02234-453 Rodrigues / DF;XX;22025589;Notebook;;dinheiro;Atraso na entrega
ana laura da rosa;20/08/2023;+55 71 8564 1020;alexandre38@uol.com.br;2420,21;Inativo;Alimentos;tX17-09uZ;Alameda Barros, 9, Barão Homem De Melo 2ª Seção, 51462-049 Aragão da Prata / RN;MG;13254974;Refrigerante;4;;
Sr. Noah Peixoto;2024-04-06;+55 (021) 5641 5638;perferendis@non;4946,95;Ativo;Alimentos;lR95-39mf;Largo Freitas, 915, Ipe, 32753-461 Costela / CE;XX;24161291;Chocolate;;Boleto;Cliente VIP
Alana da Conceição;2023-10-02;5541941902456;hda-cunha@yahoo.com.br;2650.24;Inativo;Móveis;Eb01-85qB;Quadra de da Conceição, São João Batista, 39729-594 da Luz / RN;RJ;80443-;Mesa;2;;
Dra. Isabella Mendes;2023-08-18;5581948906073;da-rochalais@da.com;8746.05;Ativo;Eletrônicos;BD77-56Tr;Teixeira de Goiás;SP;383429;Notebook;2;;Entregar urgente
João Guilherme Moura;2024-01-07;(031) 7815-2833;santoscaua@sales.br;1129,23;ativo;Eletrônicos;Tj03-31gW;Estação Jesus, 762, Ouro Preto, 07573085 Pereira / PI;MG;29625-920;Notebook;;Cartão;Atraso na entrega
noah oliveira;2024-04-09;71 1862 3536;limarafaela@aragao.br;6767,63;;Roupas;jQ49-04on;Praia Amanda Martins, 2, Vila Mangueiras, 97314-419 Farias / CE;MG;69884867;Vestido;4;;Cliente VIP
Sra. Davi Luiz Peixoto;29/09/2023;5531963734921;nda-rocha@rocha.br;2267.37;Ativo;Eletrônicos;DM70-66sg;Feira Marina Viana, 89, Delta, 50027920 Nascimento de Castro / MT;RJ;50796241;Tablet;2;Boleto;Atraso na entrega
vitória barbosa;2024-12-01;(071) 3456-4556;limacatarina@moraes.com;766,11;Inativo;Roupas;bK72-21xe;Trecho Cunha, 5, Jardim Guanabara, 80534-883 Pinto / PR;SP;72619-563;Calça;;;Cliente VIP
joão gabriel azevedo;05/11/2023;5561949148408;rafael26@yahoo.com.br;2181,15;INATIVO;Alimentos;Ox57-74Wb;da Costa das Pedras;SP;10268-808;Bolacha;;Boleto;Cliente VIP
danilo novaes;25/01/2024;41 0634 9034;rsilva@yahoo.com.br;3760.6;;Móveis;Kk72-98rC;Residencial de Pereira, Boa Viagem, 28620-906 Jesus / CE;XX;13055-289;Mesa;;;Entregar urgente
kevin cavalcanti;2023-06-12;5521956361681;emanuelly72@gmail.com;2356,99;;Eletrônicos;FG44-66vl;Vale Ana Julia Costa, 12, Salgado Filho, 82683209 Carvalho de da Luz / RS;MG;25187611;Notebook;;;Atraso na entrega
srta. esther carvalho;2023-12-10;51 6153 0686;beniciopeixoto@da.com;8460.88;;Eletrônicos;GX34-13Ol;das Neves;RJ;18659-810;Fone de Ouvido;;PIX;Cliente VIP
Sr. Eloah Ribeiro;10/09/2023;+55 81 8706 5363;joaoviana@mendes.org;6948.26;Em análise;Eletrônicos;BL20-72fl;Aeroporto Valentina da Luz, 34, Pedreira Padro Lopes, 85511-970 Duarte das Flores / AL;RJ;67421194;Notebook;;Cartão;
Dr. Sra. Joana Viana;22/07/2023;5571925542622;qbarbosa@hotmail.com;1451.45;;Móveis;zV64-80ro;Recanto de da Cunha, 22, Novo Glória, 08595-196 Martins de Sales / MT;XX;79422546;Armário;;Boleto;Cliente VIP
isabelly da cunha;2025-01-09;5581941458668;luiz-gustavo40@ig.com.br;7608.01;Em análise;Eletrônicos;aJ57-63QD;Aeroporto de das Neves, 84, São Gonçalo, 59170-322 da Costa da Praia / TO;AM;983121;Tablet;;Boleto;
Sr. Heloísa Ferreira;23/03/2025;(081) 0158 5293;kaique58@carvalho.br;4544,74;Em análise;Móveis;fJ09-12gT;Recanto de da Costa, 82, Petropolis, 71703231 Silveira / BA;RJ;22302-041;Mesa;2;dinheiro;
sr. caio da costa;01/01/2024;+55 51 7786 4034;caldeiraantonio@lopes.br;1953,34;INATIVO;Alimentos;Jh99-66aa;Setor de Barros, 80, Vila Engenho Nogueira, 55070-425 Caldeira / PI;MG;07451920;Chocolate;1;dinheiro;
Sr. Dr. João Guilherme Melo;20/06/2023;+55 84 7175 4797;quasi@perspiciatis;5882.01;INATIVO;Eletrônicos;qb72-87ou;Vale de Ramos, 90, São João, 72532277 Gomes do Sul / BA;MG;34526961;Smartphone;;Dinheiro;Entregar urgente
Sr. Srta. Cecília Correia;2023-12-20;5571999321883;vitorsouza@da.com;5317.53;INATIVO;Alimentos;ra00-41FR;Alameda Emanuel da Mata, 9, Cinquentenário, 95673-960 Jesus / RR;SP;39025-120;Refrigerante;5;dinheiro;
Maitê da Mota;23/03/2024;+55 (051) 0137-0990;stephany52@jesus.com;7808.47;INATIVO;Alimentos;qm93-73dQ;Esplanada Bruno Alves, Tres Marias, 62998707 Souza Verde / PI;MG;29775500;Refrigerante;;PIX;Entregar urgente
Sr. Yasmin Farias;20/10/2024;+55 71 7657 1926;cum@iusto;4726.97;Inativo;Alimentos;he27-19Nh;Pátio Moreira, 10, Castanheira, 21508492 Ferreira das Flores / MS;MG;31274672;Café;;PIX;
Dr. João Guilherme Farias;2023-08-16;0500 767 3016;valentinaviana@gmail.com;5560,1;INATIVO;Móveis;ou17-37jW;Nascimento;SP;75704-629;Cadeira;5;;Cliente VIP
Eduarda Cavalcanti;2024-08-22;+55 (011) 4054-7707;da-cunhamaria-fernanda@rezende.com;4103.26;INATIVO;Roupas;MU18-22eV;Estação de Almeida, 97, Santa Rita De Cássia, 84068407 Oliveira / PA;MG;85119588;Jaqueta;;;Entregar urgente
